1	Vẽ và trình bày cách Spring MVC xử lý request
	ModelAndView Interface là sự kết hợp của ModelMap và View. Nó cho phép Controller trả về một giá trị bao gồm Model và View
14	Trình bày ý nghĩa của ModelMap
	ModelMap cho phép truyền dữ liệu từ Controller sang View để hiển thị. ModelMap có các tính chất của Map
15	Trình bày ý nghĩa của ViewResolver Interface
	ViewResolver Interface cho phép ánh xạ "tên" của View sang đối tượng của View tương ứng
17	Phân biệt POST với PUT thường sử dụng để làm gì?
	"POST: thêm mới dữ liệu
 	 PUT: chỉnh sửa dữ liệu"
18	@RequestMapping làm gì?
	@RequestMapping được dùng để ánh xạ các request tới Controller tương ứng
19	Trình bày cơ chế Data Binding trong Spring
	Data Binding là cơ chế liên kết dữ liệu đầu vào và đầu ra với một đối tượng Model
20	Thuộc tính consumes trong các Request Mapping là gì ?
	Thuộc tính consumes được dùng để định dạng dữ liệu khi client request lên server
21	Thymeleaf là gì?
	"Thymeleaf là một bộ xử lý view, được sử dụng cho các ứng dụng web và các ứng dụng độc lập
	Được xây dựng phù hợp với tiêu chuẩn web, hỗ trợ HTML5
	Thymeleaf cho phép xử lý các loại templates HTML, TEXT, XML, JAVASCRIPT, CSS,..."
22	Sử dụng lặp trong Thymeleaf như thế nào? Sử dụng điều kiện trong Thymeleaf như thế nào?
	"th:each=""loop : ${loopList}"";
	th:if=""${condition}"";"
23	Formatter là gì ? Converter là gì ?
	
24	ORM là gì ?
	"ORM (Object Relational Mapping) là kỹ thuật liên kết đối tượng trong lập trình và đối tượng trong CSDL
=> Là quá trình biến đổi giữa một record trong Database và một Object trong ngôn ngữ lập trình"
25	JPA là gì? Spring Data JPA là gì ?
JPA viết tắt của từ Java Persitent API . 
Tầng Persistent có nhiệm vụ thao tác với database như query lấy dữ liệu , lưu dữ liệu xuống database . 
JPA cung cấp cho mình cơ chế ORM mapping các bảng, column ,
 mối quan hệ trong database thành các lớp java và đồng thời cung cấp cho mình các method cần thiết 
để thao tác dữ liệu trong database.

Spring Data JPA là một module của Spring Framework giúp cải tiến JPA tiêu chuẩn, đơn giản hóac   tầng truy xuất dữ liệu,
tự tạo ra Repository, tạo các truy vấn JPA thông qua tên phương thức"
26	Hibernate là gì ? Hibernate làm gì với database
	"Hibernate là một thư viện ORM mã nguồn mở giúp lập trình viên viết ứng dụng Java có thể map các Object với hệ CSDL, 
và hỗ trợ thực hiện các khái niệm OOP với CSDL. Hibernate có thể hỗ trợ tạo bảng và các dữ liệu thông qua ngôn ngữ Java"
27	Liệt kê một số annotation của hibernate?
	@Entity, @Table, @Id, @GenerateValue, @Column, @OneToOne, @OneToMany, @ManyToOne, @ManyToMany
28	Entity là gì?
	"Entity là đối tượng đại diện cho dữ liệu trong ứng dụng
Mỗi Entity sẽ được mapping với một table trong CSDL
Mỗi Entity cần tuân thủ:
+ Được gắn annotation @Entity
+ Có constructor public rỗng
+ Không được khai báo final
+ Thuộc tính của đối tượng có access modifier là private, protected hoặc ở mức package private"
29	Persistence Context & Entity Manager là gì?
	"Persistence Context là một tập các thể hiện của Entity, được dùng quản lý Entity trong một kho dữ liệu
Entity Manager là một interface cung cấp các phương thức cho việc tương tác với các Entity
Các phương thức thông dụng:
+ persit
+ merger
+ remove
+ find"
------------------------
30	Câu lệnh truy vấn động là gì? Câu lệnh truy vấn tĩnh là gì?
	"Câu lệnh truy vấn động là câu truy vấn có các tham số thay đổi
Câu lệnh truy vấn tĩnh là câu truy vấn có các tham số cố định"
31	Trạng thái của Entity bao gồm những gì?
	"+ New: tạo mới, chưa được lưu xuống CSDL
+ Persistent: được ghi xuống CSDL và quản lý trong Persistence Context
+ Detached: tạm thời tách ra khỏi Persistence Context
+ Removed: xóa những Detached Entity"
32	Có bao nhiêu loại mapping trong Hibernate?
	"Có 3 loại mapping trong Hibernate:
- Entity Mapping
     + OneToOne
     + OneToMany
     + ManyToOne
     + ManyToMany
- Collection Mapping: Set, SortedSet, List, Collection, Map, SortedMap
- Component Mapping"
33	SessionFactory là gì?
	Là một interface giúp tạo ra Session kết nối đến Databate bằng cách đọc các cấu hình trong Hibernate Configuration
34	Validation dữ liệu là gì?
	Validation là thực hiện đánh giá/xác minh tính hợp lệ của dữ liệu đầu vào
35	Trình bày cách triển khai validate dữ liệu trong Spring
	"1. Implement interface Validator vào model cần Validate
2. Overide các phương thức của Interface theo hình thức regex dữ liệu
3. Sử dụng các annotation Validate có sẵn: @NotNull, @NotEmpty, @NotBlank,…
4. Sử dụng @Validate, BindingResult ở Controller để thực hiện trả về kết quả khi có lỗi"
36	Binding Result là gì?
	Binding Result là một đối tượng chứa các lỗi trong quá trình Validate
37	AOP là gì? AOP gồm những yếu tố nào?
	"AOP (Aspect Oriented Programming) là lập trình hướng khía cạnh, là các đoạn chương trình độc lập với nghiệp vụ dự án (bổ trợ OOP)
AOP gồm các yếu tố:
     + Aspect: dùng để khai báo cho các đoạn chương trình độc lập, không liên quan gì đến nghiệp vụ dự án
     + Advice: là các hành động mà Aspect dùng để quan sát OOP
     + Pointcut: là tập hợp các Joinpoint có khả năng xảy ra các hoạt động Advice
     + Joinpoint: những điểm xảy ra Advice"
38	Các loại Advice?
	"Có 5 loại:
     + Before: hoạt động trước khi Joinpoint thực thi
     + AfterReturning: hoạt động sau khi Joinpoint thực thi và trả về giá trị
     + AfterThrowing: hoạt động sau khi Joinpoint thực thi và ném ngoại lệ
     + After: hoạt động khi Joinpoint hoàn thành
     + AroundAdvice: thực thi cả trước và sau Joinpoint"
39	JoinPoint là gì?
	Joinpoint là những điểm xảy ra Advice
40	Nêu cách triển khai AOP mà bạn dùng trong dự án
	"1. Khai báo class AOP và đánh dấu bằng annotation @Aspect, @Component
2. Khai báo cách Advice với các annotation: @Before, @AfterReturning, @AfterThrowing, @After, @Around
3. Khai báo Pointcut bằng từ khóa ""excution""
4. Viết phương thức Advice khi Joinpoint xảy ra"
41	Xử lý ngoại lệ trong Spring Web MVC như thế nào?
	Sử dụng annotion @ExceptionHandler hoặc Try/Catch để xử lý các ngoại lệ
42	Cookie là gì?
	Cookie là những tệp được trang web người dùng truy cập tạo ra. Cookie giúp trải nghiệm trực tuyến dễ dàng hơn
43	Phân biệt Session và Cookie
	"Session:
     + Session chứa thông tin người dùng và được lưu trữ ở Server
     + Dữ liệu Session khó sửa đổi
     + Một Session kết thúc khi đóng trình duyệt
     + Một Session phụ thuộc vào Cookie (JSESSIONID)
Cookie:
     + Cookie lưu thông tin người dùng ở phía client
     + Dữ liệu Cookie dễ sửa đổi hoặc dễ bị đánh cắp
     + Kết thúc tùy thuộc vào thời gian cài đặt (setMaxAge())
     + Một Cookie không phụ thuộc vào Session"
44	Nêu cách triển khai Session mà bạn dùng trong dự án
	"1. Khởi tạo đối tượng Session cùng annotation @ModelAttribute
2. Dùng annotation @SessionAttributes để lưu trữ thông tin của Model Attribute
3. Sử dụng annotation @CookieValue để ràng buộc giá trị của cookie HTTP với tham số phương thức trong Controller
4. Tạo Cookie và trả về cho Client"
45	Web Service là gì? Lấy ví dụ về web service
	"+ Web Service là một dịch vụ web cung cấp nền tảng chung cho nhiều ứng dụng. Những ứng dụng này có thể được viết bằng nhiều nền tảng công nghệ khác nhau nhưng có thể giao tiếp với nhau được
+ Hoạt động dựa trên mô hình Client-Server, thông qua giao thức HTTP, HTTPs
+ Kiểu dữ liệu dùng để giao tiếp là XML và JSON"
46	Phân biệt Web Service và Web truyền thông
	"Web Application:
     + Có giao diện
     + Kết quả trả về cho người dùng là view
     + Tương tác giữa User và ứng dụng thông qua form, link, image, button,…
     + Thông thường được tương tác giữa User & ứng dụng
Web Service:
     + Không có giao diện
     + Kết quả trả về chỉ có data (theo format XML hoặc JSON) => User khó đọc
     + Tương tác giữa các ứng dụng thông qua các phương thức HTTP: GET, POST, PUT, DELETE,... và HTTP code
     + Thông thường chỉ có các ứng dụng giao tiếp với nhau trong môi trường Internet"
47	SOAP là gì? RESTful là gì?
	"SOAP (Simple Object Access Portal) là giao thức Internet cho phép các chương trình
 trong các hệ điều hành khác nhau hoặc trên các máy chủ riêng biệt liên kết với nhau qua Internet. SOAP sử dụng giao thức XML
RESTful (Representational State Transfer) là một tiêu chuẩn trong thiết kế API cho các ứng dụng web để quản lý resource.
 Sử dụng phương thức HTTP đơn giản để giao tiếp giữa các máy. RESTful sử dụng giao thức JSON hoặc XML"
48	jQuery là gì? Ajax là gì?
	"jQuery là một thư viện được xây dựng từ JavaScript
Ajax (Asynchronous JavaScript & XML) là một kỹ thuật giúp phát triển các trang web động mà không cần tải lại trang"
49	Nêu ví dụ về cách bạn triển khai Ajax trong dự án của bạn
	"1. Sử dụng jQuery $(document).ready để thông báo sử dụng jQuery khi HTML load xong
2. Dùng jQuery để bắt sự kiện
3. Dùng $.ajax để triển khai Ajax thông qua các thuộc tính: url, dataType, type, success"
50	@RequestHeader và @ResponseHeader có ý nghĩa gì
	
51	I18n và L10n là gì?
	"I18n (Internationalization): Quốc tế hóa
L10n (Localization): Nội địa hóa"
52	Nêu cách triển khai I18N và I10N trong dự án Spring
	"1. Cấu hình Java: LocalResolver, LocalChangeInterceptor, InterceptorRegistry, MessageSource
2. Tạo file Resource Bundle để khai báo message bằng các ngôn ngữ khác nhau
3. Sử dụng Thymeleaf để gán các message vào HTML"
53	Interceptor là gì?
	Interceptor được xem như là một chốt chặn giữa các request gửi đến Controller
54	Bảo mật là gì? Cơ chế bảo mật trong Spring như thế nào?
	"Bảo mật là sự hạn chế khả năng lạm dụng tài nguyên và tài sản
Cơ chế bảo mật trong Spring:
     + Authentication (xác thực): là một hành động nhằm thiết lập hoặc chứng thực một thông điệp hoặc đối tượng nào đó đáng tin cậy
     + Authorization (phân quyền): là quá trình xác định xem một đối tượng có quyền truy cập một tài nguyên cụ thể để thực hiện một số hành động hay không"
55	Authentication là gì ? Authorization là gì ?
	"     + Authentication (xác thực): là một hành động nhằm thiết lập hoặc chứng thực một thông điệp hoặc đối tượng nào đó đáng tin cậy
     + Authorization (phân quyền): là quá trình xác định xem một đối tượng có quyền truy cập một tài nguyên cụ thể để thực hiện một số hành động hay không"
56	Liệt kê các cơ chế xác thực
	"+ HTTP Basic: yêu cầu phía Client cung cấp Username & Password để xác thực
+ Cookies
+ Tockens: là một tiêu chuẩn mở định nghĩa cách truyền tin an toàn giữa các thành viên bằng một đối tượng JSON
+ Signature
+ One-time Password (OTP)
+ OAuth2: xác thực thông qua ứng dụng thứ 3"
57	CSRF là gì
	CSRF (Cross-site Request Forgery) là một kỹ thuật tấn công giả mạo chính chủ thể của nó
58	CORS là gì
	CORS (Cross-origin Resource Sharing) là một cơ chế cho phép nhiều tài nguyên khác nhau của một trang web có thể truy cấp từ một domain khác với domain của trang
59	Spring Boot là gì?
	Spring Boot là một trong số các module của Spring framework, cung cấp tính năng RAD (Rapid Application Development). Spring Boot được sử dụng để tạo ra một ứng dụng độc lập dựa trên Spring mà có thể chạy ngay với rất ít cấu hình cần thêm. Spring Boot không cần đến bất kỳ cấu hình xml nào, mà nó sử dụng quy ước về mô hình thiết kế phần mềm theo cấu hình, có nghĩa là nó giảm tải công việc cho các lập trình viên.
60	Sự khác nhau giữa SpringBoot và SpringMVC là gì?
	"Spring Boot:
     + Spring Boot là một module của Spring Framework để đóng gói ứng dụng dựa trên Spring với các giá trị mặc định hợp lý
     + Nó cung cấp các cấu hình mặc định để xây dựng Spring-powered Framework
     + Không có yêu cầu với các file mô tả khi triển khai
     + Nó tránh mã viết sẵn và kết hợp các dependencies lại với nhau trong một đơn vị duy nhất
     + Nó làm giảm thời gian phát triển và tăng năng suất
Spring MVC:
     + Spring MVC dựa trên Spring Framework
     + Nó cung cấp các tính năng có sẵn để xây dựng một ứng dụng web
     + Cần có nhiều file mô tả triển khai
     + Nó chỉ định từng dependency riêng biệt
     + Cần nhiều thời gian để phát triển"
61	Cấu hình cho Spring Boot Tìm kiếm các Bean ở nhiều package khác nhau bằng cách nào?
	
62	Trình bày Spring Security? @EnableWebSecurity làm gì?
	"Spring Security là một Framework của Spring, dành riêng cho việc thiết lập bảo mật ứng dụng bao gồm Authentication và Authorization
@EnableWebSecurity để kích hoạt SpringSecurity trong dự án"
63	Trình bày Spring Boot JPA? Cài đặt?
	
64	Để sử dụng interface JpaRepository cần cung cấp những thông tin nào?
	Interface JpaRepository cần cung cấp thông tin: Đối tượng và Primary Key
65	Bạn có biết annotation @ConfigurationProperties? Trình bày?
	@ConfigurationProperties cho phép truy xuất các thuộc tính được đặt trong các tệp cấu hình một các tự động và mạnh mẽ








<td>
    <button type="button" class="btn btn-primary" data-bs-toggle="modal"
            th:data-bs-target="'#createContractModal'+${c.id}">
        +
    </button>
    <!-- Modal -->
    <div class="modal fade" th:id="'createContractModal'+${c.id}" tabindex="-1"
         aria-labelledby="exampleModalLabel"
         aria-hidden="true">
        <div class="modal-dialog">
            <div class="modal-content">
                <div class="modal-header">
                    <h5 class="modal-title" id="exampleModalLabel">Create Contract Detail</h5>
                    <button type="button" class="btn-close" data-bs-dismiss="modal"
                            aria-label="Close"></button>
                </div>
                <div class="modal-body">
                    <h1 class="text-center my-5">Create Contract Detail</h1>
                    <form action="/contract/createDetail" method="post"
                          th:object="${contractDetail}">
                        <div class="container">

                            <table class="table table-striped">
                                <tr>
                                    <td>Contract</td>
                                    <td><select th:field="*{contract}" class="form-control"hidden>
                                        <option th:value="${c.id}"></option>
                                    </select></td>
                                </tr>
                                <tr>
                                    <td><label>Attach Facility</label></td>
                                    <td><select th:field="*{attachFacility}" class="form-select">
                                        <option th:each="c : ${attachFacilitys}" th:value="${c.id}"
                                                th:text="${c.name}"></option>
                                    </select></td>
                                </tr>
                                <tr>
                                    <td><label>Quantity</label></td>
                                    <td><input class="form-control" type="text"
                                               th:field="*{quantity}"></td>
                                </tr>

                            </table>
                        </div>
                        <div class="modal-footer">
                            <button type="button" class="btn btn-secondary" data-bs-dismiss="modal">
                                Close
                            </button>
                            <button type="submit" class="btn btn-primary">Save changes</button>
                        </div>
                    </form>
                </div>
            </div>
        </div>
    </div>
</td>

















